id_sensor	id_plot	position_sensor	datetime	month	month_num	date	time	t_hobo
59-32-a	59_32	a	2023-09-27T12:00:00Z	September	9	2023-09-27	12:00:00	18.331
59-32-a	59_32	a	2023-09-27T13:00:00Z	September	9	2023-09-27	13:00:00	18.711
59-32-a	59_32	a	2023-09-26T05:00:00Z	September	9	2023-09-26	05:00:00	11.916
59-32-a	59_32	a	2023-09-26T06:00:00Z	September	9	2023-09-26	06:00:00	11.722
59-32-a	59_32	a	2023-09-27T19:00:00Z	September	9	2023-09-27	19:00:00	17.57
59-32-a	59_32	a	2023-09-27T20:00:00Z	September	9	2023-09-27	20:00:00	17.379
59-32-a	59_32	a	2023-09-27T21:00:00Z	September	9	2023-09-27	21:00:00	17.57
59-32-a	59_32	a	2023-09-27T22:00:00Z	September	9	2023-09-27	22:00:00	14.325
59-32-a	59_32	a	2023-09-06T11:00:00Z	September	9	2023-09-06	11:00:00	22.238
59-32-a	59_32	a	2023-09-06T12:00:00Z	September	9	2023-09-06	12:00:00	22.908
59-32-a	59_32	a	2023-09-06T13:00:00Z	September	9	2023-09-06	13:00:00	23.388
59-32-a	59_32	a	2023-09-06T14:00:00Z	September	9	2023-09-06	14:00:00	23.484
59-32-a	59_32	a	2023-09-06T16:00:00Z	September	9	2023-09-06	16:00:00	22.525
59-32-a	59_32	a	2023-09-16T14:00:00Z	September	9	2023-09-16	14:00:00	21.091
59-32-a	59_32	a	2023-09-14T07:00:00Z	September	9	2023-09-14	07:00:00	13.942
59-32-a	59_32	a	2023-09-14T08:00:00Z	September	9	2023-09-14	08:00:00	14.804
59-32-a	59_32	a	2023-09-14T09:00:00Z	September	9	2023-09-14	09:00:00	15.76
59-32-a	59_32	a	2023-09-14T12:00:00Z	September	9	2023-09-14	12:00:00	17.95
59-32-a	59_32	a	2023-09-14T13:00:00Z	September	9	2023-09-14	13:00:00	19.187
59-32-a	59_32	a	2023-09-14T16:00:00Z	September	9	2023-09-14	16:00:00	19.472
59-32-a	59_32	a	2023-09-14T17:00:00Z	September	9	2023-09-14	17:00:00	18.901
59-32-a	59_32	a	2023-09-13T14:00:00Z	September	9	2023-09-13	14:00:00	19.187
59-32-a	59_32	a	2023-09-13T16:00:00Z	September	9	2023-09-13	16:00:00	18.711
59-32-a	59_32	a	2023-09-13T23:00:00Z	September	9	2023-09-13	23:00:00	17.189
59-32-a	59_32	a	2023-09-09T12:00:00Z	September	9	2023-09-09	12:00:00	24.641
59-32-a	59_32	a	2023-09-27T11:00:00Z	September	9	2023-09-27	11:00:00	17.189
59-32-a	59_32	a	2023-09-27T16:00:00Z	September	9	2023-09-27	16:00:00	18.426
59-32-a	59_32	a	2023-09-27T17:00:00Z	September	9	2023-09-27	17:00:00	18.045
59-32-a	59_32	a	2023-09-27T18:00:00Z	September	9	2023-09-27	18:00:00	17.76
59-32-a	59_32	a	2023-09-27T23:00:00Z	September	9	2023-09-27	23:00:00	14.134
59-32-a	59_32	a	2023-09-06T09:00:00Z	September	9	2023-09-06	09:00:00	19.853
59-32-a	59_32	a	2023-09-06T18:00:00Z	September	9	2023-09-06	18:00:00	21.091
59-32-a	59_32	a	2023-09-06T19:00:00Z	September	9	2023-09-06	19:00:00	20.138
59-32-a	59_32	a	2023-09-06T20:00:00Z	September	9	2023-09-06	20:00:00	19.758
59-32-a	59_32	a	2023-09-06T21:00:00Z	September	9	2023-09-06	21:00:00	19.377
59-32-a	59_32	a	2023-09-06T22:00:00Z	September	9	2023-09-06	22:00:00	19.567
59-32-a	59_32	a	2023-09-06T23:00:00Z	September	9	2023-09-06	23:00:00	19.187
59-32-a	59_32	a	2023-09-17T00:00:00Z	September	9	2023-09-17	00:00:00	17.76
59-32-a	59_32	a	2023-09-17T01:00:00Z	September	9	2023-09-17	01:00:00	17.379
59-32-a	59_32	a	2023-09-17T04:00:00Z	September	9	2023-09-17	04:00:00	17.189
59-32-a	59_32	a	2023-09-17T05:00:00Z	September	9	2023-09-17	05:00:00	16.903
59-32-a	59_32	a	2023-09-17T06:00:00Z	September	9	2023-09-17	06:00:00	16.808
59-32-a	59_32	a	2023-09-17T07:00:00Z	September	9	2023-09-17	07:00:00	16.713
59-32-a	59_32	a	2023-09-17T08:00:00Z	September	9	2023-09-17	08:00:00	17.094
59-32-a	59_32	a	2023-09-17T09:00:00Z	September	9	2023-09-17	09:00:00	17.95
59-32-a	59_32	a	2023-09-17T10:00:00Z	September	9	2023-09-17	10:00:00	18.901
59-32-a	59_32	a	2023-09-17T11:00:00Z	September	9	2023-09-17	11:00:00	19.853
